Startup Name,Impact Statement,Description,Website,Primary SDG,Additional SDGs,Type of Innovation,Target(s),Indicator(s),Direct / Indirect Impact,Industry,Focus Area,Business Model,Customer,Location of Impact,Circular Value Chain,Maturity (new),Funded,Funding Round,Funding amount ($),Funding category,Last funding date,Country Cat. / Market,Country,City,Founded,Employees,Logo,Deadpooled,Investor,No Tracxn,Orange?,Source,Complete,Checked,Relevance,To Include,Hero,Comments,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity,0.4,0.6,0,Text to no.conversion,Logo,Seeking funding,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,
3oun,Aoun is a home maintenance mobile application company.,"3oun is a platform for home maintenance services matching users with vetted handymen, as we care for the end users we also care about creating more jobs and a sustainable monthly income for handymen. ",http://3oun.com/,SDG 8: Decent Work and Economic Growth,,,,,,,,,,,,Nascent,Yes,Seed,"35,000",,,,,,,Unknown,,,,X,,https://1millionstartups.com/search-front.php,FALSE,FALSE,,FALSE,FALSE,website directs to a chinese website,1,0,1,0.4,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Advanced Substrate Technologies,Develops a method that combines waste from biogas plants and the need for fungal substrates,,http://www.astech.dk,SDG 7: Affordable and Clean Energy,,n/a,,,Direct,food;energy,,,,,,Emerging,Yes,Series A,"1,600,000",,May/2017,,,,,2,,,,,,,FALSE,FALSE,,FALSE,FALSE,,1,0.33,0,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Aega,"Aega believes in long term investments in the solar power market, delivering high yields.","aega asa is a solar utility company that acquires and operates solar power plants. the company currently owns a portfolio of seven individual solar parks in the umbria, lazio, abruzzo, emilia-romagna and lombardia regions in italy with a combined production capacity of 7mwp, and an initial annual electricity production of approximately 10gwh depending on the annual solar irradiation. the company focuses on acquisitions of smaller existing solar parks",http://aega.no,SDG 7: Affordable and Clean Energy,,7.2 Energy Sources,,,,Energy & Materials,Expansion of renewables,,B2B,Emerging Markets,Growth,Emerging,,,,N/A,,High income,Norway,Oslo,2011,11,,,,,,Impact Business Index,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
640 Labs,Agricultural data platform,"640Labs collects, stores and analyzes the agricultural data including weather and soil, and delivers it via cloud based platform to the farmers. The company built a plug-and-play wireless data tracking device to replace USB-stick collection methods which are normally used to collect field data.640Labs also provides analytics tool to farmers to make sense of these data. The company was acquired by Climate Corp in December 2014.",640labs.com,SDG 2: Zero Hunger,,2.1 AgTech for Sustainable Farming,,,,,,,,United States of America,Growth,Emerging,Yes,Acquired,"5,650,000",1-3M,,High income,USA,,2013,1,,,,,,Tracxn,TRUE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
6Grain,Software platform for data analytics using data from multiple channels,"6th Grain Corporation provides a cloud-based software platform for farmers, governments, and institutional clients such as farm input suppliers and insurance companies to generate maps using data from multiple channels such as satellites, UAV, IoT devices etc. Offerings on the cloud-based platform include crop maps for wheat &amp; maize cropped areas using satellite, UAV, and sensor data, 6G Farmer Management Index map which is a map highlighting crop performance of maize crops independent of growing conditions, Seasonal Metrics which are maps generated using satellite and ancillary data for start, peak, and end of the season, 6G Ag-Risk Index which are reports generated using big data analytics for volatility of productivity and climate of cropped areas, and fertilizer advisory services using soil data for fertilizer prescriptions. It provides services currently in African and Asian countries.",6grain.com,SDG 2: Zero Hunger,,2.1 AgTech for Sustainable Farming,,,,,,,,Singapore,Go-to-market,Nascent,No,Unfunded,Not Applicable,N/A,,High income,Singapore,,2013,14,,,,,,Tracxn,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
720 Degrees,Monitoring the indoor environment prevents issues and improves quality in your facilities,"720 Degrees is a cloud-based solution for monitoring the indoor environmental quality such as air quality, temperature, noise pollution, of smart infrastructures. Uses machine learning to automatically detect material emission, low relative humidity, recurring odors, rapid fluctuations in temperature and more. It collects & analyses data and then sends messages with suggestions to facility stakeholders on the required changes",https://www.720.io/en/,SDG 8: Decent Work and Economic Growth,SDG 3: Good Health and Well-being,,,,,,,Big Data Machine Learning,B2B,Developed Markets,,Nascent,Yes,Series A,"4,050,000",,,,Finland,Helsinki,2012,20,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0.33,0.5,0.398,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Aenarete,Designer and developer of wind drones,Aenarete’s mission is to make Airborne Wind Energy a success story with small-scale “Wind Drones” and models.,aenarete.eu,SDG 7: Affordable and Clean Energy,,7.2 Energy Sources,,,,,,,,Netherlands,Go-to-market,Emerging,,,,N/A,,High income,Netherlands,,2015,3,,,,,,Dutch Database,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
9Needs Pvt,using blockchain to develop identity and contracting systems to let South African childhood development programmes register children and provide reliable database,using blockchain to develop identity and contracting systems to let South African childhood development programmes register children and provide reliable database,http://9needs.com,SDG 1: No Poverty,,1.2 Digital Records that Empower the World's Poor,,,,,,,,South Africa,Unknown,Nascent,Yes,Seed,"100,000",N/A,,Upper middle income,South Africa,,2012,Unknown,,,,,,PositiveBlockchain,TRUE,FALSE,,FALSE,FALSE,,0.5,0,1,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Agrosavfe,"Focuses on the discovery, development and commercialization of biocontrols to tackle pests using its proprietary AGROBODY™ technology platform",,http://agrosavfe.be/,SDG 7: Affordable and Clean Energy,,n/a,,,Indirect,food,,,,,,Emerging,Yes,Series C,"57,000,000",,Jul/2019,,Belgium,,2011,1,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
AImotive,AI powered self-driving technology,,https://aimotive.com/,SDG 7: Affordable and Clean Energy,,n/a,,,Indirect,transportation,,,,,,Emerging,Yes,Series C,"48,500,000",,Dec/2018,,Hungary,,2015,202,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0.66,1,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
